"trade_time","date","action","code","name","qty","price","amount","ref_buy_price","pnl_100","return_pct","reason"
"2026-03-13 00:07:04","2026-03-13","卖出","600268","国电南自","100","16.6","1660","17.29","-69","-3.99","弱势调出（当前收益靠后）"
"2026-03-13 00:07:04","2026-03-13","卖出","002756","永兴材料","100","71.59","7159","74.27","-268","-3.61","弱势调出（当前收益靠后）"
"2026-03-13 00:07:04","2026-03-13","卖出","600216","浙江医药","100","17.3","1730","17.69","-39","-2.2","弱势调出（当前收益靠后）"
"2026-03-13 00:07:04","2026-03-13","买入","002772","众兴菌业","100","19.57","1957","","","","调仓补入（高分候选）"
"2026-03-13 00:07:04","2026-03-13","买入","603876","鼎胜新材","100","21.53","2153","","","","调仓补入（高分候选）"
"2026-03-13 00:07:04","2026-03-13","买入","000422","湖北宜化","100","19.44","1944","","","","调仓补入（高分候选）"
