"trade_time","date","action","code","name","qty","price","amount","ref_buy_price","pnl_100","return_pct","reason"
"2026-03-06 23:45:25","2026-03-06","卖出","000070","特发信息","100","17.06","1706","19.66","-260","-13.22","弱势调出（当前收益靠后）"
"2026-03-06 23:45:25","2026-03-06","卖出","600301","华锡有色","100","64.5","6450","71.24","-674","-9.46","弱势调出（当前收益靠后）"
"2026-03-06 23:45:25","2026-03-06","卖出","002040","南 京 港","100","11.18","1118","11.97","-79","-6.6","弱势调出（当前收益靠后）"
"2026-03-06 23:45:25","2026-03-06","买入","002734","利民股份","100","21.77","2177","","","","调仓补入（高分候选）"
"2026-03-06 23:45:25","2026-03-06","买入","002452","长高电新","100","12.08","1208","","","","调仓补入（高分候选）"
"2026-03-06 23:45:25","2026-03-06","买入","600389","江山股份","100","30.5","3050","","","","调仓补入（高分候选）"
