"trade_time","date","action","code","name","qty","price","amount","ref_buy_price","pnl_100","return_pct","reason"
"2026-03-18 22:55:17","2026-03-18","卖出","000422","湖北宜化","100","17.35","1735","19.44","-209","-10.75","弱势调出（当前收益靠后）"
"2026-03-18 22:55:17","2026-03-18","卖出","603009","北特科技","100","48.9","4890","53.75","-485","-9.02","弱势调出（当前收益靠后）"
"2026-03-18 22:55:17","2026-03-18","卖出","603876","鼎胜新材","100","19.91","1991","21.53","-162","-7.52","弱势调出（当前收益靠后）"
"2026-03-18 22:55:17","2026-03-18","买入","000818","航锦科技","100","24.12","2412","","","","调仓补入（高分候选）"
"2026-03-18 22:55:17","2026-03-18","买入","002463","沪电股份","100","91","9100","","","","调仓补入（高分候选）"
"2026-03-18 22:55:17","2026-03-18","买入","002792","通宇通讯","100","41.67","4167","","","","调仓补入（高分候选）"
