"trade_time","date","action","code","name","qty","price","amount","ref_buy_price","pnl_100","return_pct","reason"
"2026-03-12 00:02:15","2026-03-11","卖出","603070","万控智造","100","17.02","1702","17.53","-51","-2.91","弱势调出（当前收益靠后）"
"2026-03-12 00:02:15","2026-03-11","卖出","601808","中海油服","100","18.13","1813","18.56","-43","-2.32","弱势调出（当前收益靠后）"
"2026-03-12 00:02:15","2026-03-11","卖出","002929","润建股份","100","52.05","5205","53.08","-103","-1.94","弱势调出（当前收益靠后）"
"2026-03-12 00:02:15","2026-03-11","买入","002281","光迅科技","100","91.49","9149","","","","调仓补入（高分候选）"
"2026-03-12 00:02:15","2026-03-11","买入","002631","德尔未来","100","7.32","732","","","","调仓补入（高分候选）"
"2026-03-12 00:02:15","2026-03-11","买入","600703","三安光电","100","17.04","1704","","","","调仓补入（高分候选）"
