"trade_time","date","action","code","name","qty","price","amount","ref_buy_price","pnl_100","return_pct","reason"
"2026-03-30 23:57:18","2026-03-30","卖出","603817","海峡环保","100","7.73","773","9.07","-134","-14.77","弱势调出（当前收益靠后）"
"2026-03-30 23:57:18","2026-03-30","卖出","600956","新天绿能","100","8.9","890","10.2","-130","-12.75","弱势调出（当前收益靠后）"
"2026-03-30 23:57:18","2026-03-30","卖出","600681","百川能源","100","4.52","452","5.09","-57","-11.2","弱势调出（当前收益靠后）"
"2026-03-30 23:57:18","2026-03-30","买入","000628","高新发展","100","51.9","5190","","","","调仓补入（高分候选）"
"2026-03-30 23:57:18","2026-03-30","买入","002950","奥美医疗","100","12.43","1243","","","","调仓补入（高分候选）"
"2026-03-30 23:57:18","2026-03-30","买入","002937","兴瑞科技","100","25.98","2598","","","","调仓补入（高分候选）"
