"trade_time","date","action","code","name","qty","price","amount","ref_buy_price","pnl_100","return_pct","reason"
"2026-03-12 00:17:29","2026-03-12","卖出","603070","万控智造","100","17.02","1702","17.53","-51","-2.91","弱势调出（当前收益靠后）"
"2026-03-12 00:17:29","2026-03-12","卖出","000554","泰山石油","100","9.72","972","9.86","-14","-1.42","弱势调出（当前收益靠后）"
"2026-03-12 00:17:29","2026-03-12","卖出","000993","闽东电力","100","15.09","1509","15.25","-16","-1.05","弱势调出（当前收益靠后）"
"2026-03-12 00:17:29","2026-03-12","买入","600216","浙江医药","100","17.69","1769","","","","调仓补入（高分候选）"
"2026-03-12 00:17:29","2026-03-12","买入","600268","国电南自","100","17.29","1729","","","","调仓补入（高分候选）"
"2026-03-12 00:17:29","2026-03-12","买入","600110","诺德股份","100","8.2","820","","","","调仓补入（高分候选）"
