"trade_time","date","action","code","name","qty","price","amount","ref_buy_price","pnl_100","return_pct","reason"
"2026-03-27 00:35:57","2026-03-27","卖出","002897","意华股份","100","58.52","5852","68.52","-1000","-14.59","弱势调出（当前收益靠后）"
"2026-03-27 00:35:57","2026-03-27","卖出","000818","航锦科技","100","21.14","2114","24.12","-298","-12.35","弱势调出（当前收益靠后）"
"2026-03-27 00:35:57","2026-03-27","卖出","002405","四维图新","100","9.51","951","10.78","-127","-11.78","弱势调出（当前收益靠后）"
"2026-03-27 00:35:57","2026-03-27","买入","600792","云煤能源","100","5.28","528","","","","调仓补入（高分候选）"
"2026-03-27 00:35:57","2026-03-27","买入","603659","璞泰来","100","34.17","3417","","","","调仓补入（高分候选）"
"2026-03-27 00:35:57","2026-03-27","买入","600681","百川能源","100","5.09","509","","","","调仓补入（高分候选）"
