"trade_time","date","action","code","name","qty","price","amount","ref_buy_price","pnl_100","return_pct","reason"
"2026-03-31 23:27:37","2026-03-31","卖出","603381","永臻股份","100","23.49","2349","27.45","-396","-14.43","弱势调出（当前收益靠后）"
"2026-03-31 23:27:37","2026-03-31","卖出","600792","云煤能源","100","4.59","459","5.28","-69","-13.07","弱势调出（当前收益靠后）"
"2026-03-31 23:27:37","2026-03-31","卖出","600714","金瑞矿业","100","17.43","1743","19.76","-233","-11.79","弱势调出（当前收益靠后）"
"2026-03-31 23:27:37","2026-03-31","买入","600163","中闽能源","100","7.62","762","","","","调仓补入（高分候选）"
"2026-03-31 23:27:37","2026-03-31","买入","002479","富春环保","100","6.02","602","","","","调仓补入（高分候选）"
"2026-03-31 23:27:37","2026-03-31","买入","600268","国电南自","100","15.48","1548","","","","调仓补入（高分候选）"
