"trade_time","date","action","code","name","qty","price","amount","ref_buy_price","pnl_100","return_pct","reason"
"2026-03-16 23:21:56","2026-03-16","卖出","000591","太阳能","100","5.99","599","6.65","-66","-9.92","弱势调出（当前收益靠后）"
"2026-03-16 23:21:56","2026-03-16","卖出","002281","光迅科技","100","83.5","8350","91.49","-799","-8.73","弱势调出（当前收益靠后）"
"2026-03-16 23:21:56","2026-03-16","卖出","002380","科远智慧","100","36.99","3699","40.5","-351","-8.67","弱势调出（当前收益靠后）"
"2026-03-16 23:21:56","2026-03-16","买入","002655","共达电声","100","17.78","1778","","","","调仓补入（高分候选）"
"2026-03-16 23:21:56","2026-03-16","买入","600956","新天绿能","100","10.2","1020","","","","调仓补入（高分候选）"
"2026-03-16 23:21:56","2026-03-16","买入","000021","深科技","100","33.1","3310","","","","调仓补入（高分候选）"
