"trade_time","date","action","code","name","qty","price","amount","ref_buy_price","pnl_100","return_pct","reason"
"2026-03-25 09:38:14","2026-03-25","卖出","600703","三安光电","100","14.07","1407","17.04","-297","-17.43","弱势调出（当前收益靠后）"
"2026-03-25 09:38:14","2026-03-25","卖出","002772","众兴菌业","100","16.96","1696","19.57","-261","-13.34","弱势调出（当前收益靠后）"
"2026-03-25 09:38:14","2026-03-25","卖出","002463","沪电股份","100","82.85","8285","91","-815","-8.96","弱势调出（当前收益靠后）"
"2026-03-25 09:38:14","2026-03-25","买入","002309","中利集团","100","4.9","490","","","","调仓补入（高分候选）"
"2026-03-25 09:38:14","2026-03-25","买入","600549","厦门钨业","100","59.42","5942","","","","调仓补入（高分候选）"
"2026-03-25 09:38:14","2026-03-25","买入","000338","潍柴动力","100","25.18","2518","","","","调仓补入（高分候选）"
