"trade_time","date","action","code","name","qty","price","amount","ref_buy_price","pnl_100","return_pct","reason"
"2026-03-19 23:34:34","2026-03-19","卖出","002121","科陆电子","100","8.72","872","9.62","-90","-9.36","弱势调出（当前收益靠后）"
"2026-03-19 23:34:34","2026-03-19","卖出","601611","中国核建","100","15.48","1548","16.79","-131","-7.8","弱势调出（当前收益靠后）"
"2026-03-19 23:34:34","2026-03-19","卖出","002452","长高电新","100","11.2","1120","12.08","-88","-7.28","弱势调出（当前收益靠后）"
"2026-03-19 23:34:34","2026-03-19","买入","002082","万邦德","100","18.8","1880","","","","调仓补入（高分候选）"
"2026-03-19 23:34:34","2026-03-19","买入","603693","江苏新能","100","16.89","1689","","","","调仓补入（高分候选）"
"2026-03-19 23:34:34","2026-03-19","买入","603817","海峡环保","100","9.07","907","","","","调仓补入（高分候选）"
